nama_opd,nama_jabatan,kelas_jabatan,jumlah_pegawai_terdampak
"Dinas Pekerjaan Umum dan Penataan Ruang","Pengelola Sumber Daya Air Ahli Muda",,2
"KELURAHAN BABADAN","PENGADMINISTRASI PERKANTORAN",,2
"Kecamatan Wonotirto","PENGADMINISTRASI PERKANTORAN",,2
,"Perawat Pelaksana / Terampil",,2
"Dinas Kesehatan","APOTEKER AHLI PERTAMA",,2
"Dinas Koperasi, Usaha Kecil dan Menengah","PENATA LAYANAN OPERASIONAL",,2
"RSUD Srengat","Bidan Ahli Pertama",,2
"Kelurahan Jingglong","PENGADMINISTRASI PERKANTORAN",,2
"RSUD Ngudi Waluyo Wlingi","PEREKAM MEDIS TERAMPIL",,2
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","OPERATOR LAYANAN OPERASIONAL",,2
"Dinas Penanaman Modal dan Pelayanan Terpadu satu Pintu","PENGADMINISTRASI PERKANTORAN",,2
"RSUD Srengat","OPERATOR LAYANAN OPERASIONAL",,2
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","OPERATOR LAYANAN OPERASIONAL",,2
"RSUD Ngudi Waluyo Wlingi","Administrator Kesehatan Ahli Pertama",,2
"Badan Kesatuan Bangsa dan Politik","PENATA LAYANAN OPERASIONAL",,2
"Dinas Pekerjaan Umum dan Penataan Ruang","OPERATOR LAYANAN OPERASIONAL",,2
"RSUD Srengat","Teknisi Elektromedis Ahli Pertama",,2
"Kelurahan Kalipang","PENGADMINISTRASI PERKANTORAN",,2
"Kelurahan Togogan","PENGADMINISTRASI PERKANTORAN",,2
"Kecamatan Wates","PENGADMINISTRASI PERKANTORAN",,2
"Kelurahan Klemunan","PENGADMINISTRASI PERKANTORAN",,2
"Dinas Kesehatan","PENGELOLA UMUM OPERASIONAL",,2
"Kelurahan Jegu","PENGADMINISTRASI PERKANTORAN",,2
"Kecamatan Binangun","PENGADMINISTRASI PERKANTORAN",,2
"Kecamatan Panggungrejo","PENGADMINISTRASI PERKANTORAN",,2
"Dinas Tenaga Kerja","PENGADMINISTRASI PERKANTORAN",,2
"Sekretariat DPRD","PENATA LAYANAN OPERASIONAL",,2
"Kelurahan Sukorejo","PENGADMINISTRASI PERKANTORAN",,2
"Dinas Peternakan dan Perikanan","PENGELOLA UMUM OPERASIONAL",,2
"Dinas Sosial","OPERATOR LAYANAN OPERASIONAL",,2
"Pelaksana Badan Penanggulangan Bencana Daerah","PENATA LAYANAN OPERASIONAL",,2
"Dinas Kebudayaan Dan Pariwisata","Pranata Komputer Ahli Pertama",,2
"Dinas Perpustakaan Dan Kearsipan","OPERATOR LAYANAN OPERASIONAL",,2
